年,ENSO_summer,ENSO_winter,ENSO_next_winter,うめ開花,さくら開花,さくら満開,あじさい開花,すすき開花,いちょう黄葉,いちょう落葉,かえで紅葉,かえで落葉,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,年の値,春平均気温,夏平均気温,秋平均気温,冬平均気温,次の冬平均気温
1977,ElNino,ElNino,Neutral,76,104,109,191,235,314,331,326,346,1.5,1,4.9,9.6,13.7,17.6,22.8,22.7,21.1,15.6,10.7,4.7,11.9,9.4,21.033333333333335,15.800000000000002,1.7666666666666666,2.233333333333334
1978,Neutral,Neutral,ElNino,64,111,115,187,232,306,321,312,332,1.1,0.9,4,9,14.6,20.2,25,25.6,19.5,13.6,8.8,5.4,12.2,9.200000000000001,23.600000000000005,13.966666666666669,2.233333333333334,4.066666666666667
1979,ElNino,ElNino,ElNino,9,99,102,181,228,311,338,314,343,2.7,4.1,4.9,9.3,14.9,21.4,22,24.9,20.6,16.5,10.5,5.7,13.1,9.700000000000001,22.766666666666666,15.866666666666667,4.066666666666667,2.433333333333333
1980,ElNino,ElNino,Neutral,65,104,110,164,219,305,324,308,328,1.4,0.2,3.8,9.2,15.6,20.1,19.9,20.1,19.6,14.3,9.6,3.6,11.4,9.533333333333333,20.033333333333335,14.500000000000002,2.433333333333333,1.6666666666666667
1981,Neutral,Neutral,ElNino,62,103,108,191,237,309,323,316,333,0,1.4,4,10,13.3,15.5,23,23.3,18.5,14.2,6.5,4.1,11.2,9.1,20.599999999999998,13.066666666666668,1.6666666666666667,2.033333333333333
1982,ElNino,ElNino,ElNino,68,101,106,187,227,308,328,322,338,1.1,0.9,5.1,9.6,16.3,18,20.3,23.7,19.7,15.1,10.1,5.6,12.1,10.333333333333334,20.666666666666668,14.966666666666667,2.033333333333333,2.8000000000000003
1983,ElNino,ElNino,LaNina,48,103,108,188,239,307,319,315,326,2.2,0.6,4.3,12.4,15.3,16.4,19.9,24,20.4,13.7,8.1,2.8,11.7,10.666666666666666,20.099999999999998,14.066666666666665,2.8000000000000003,1.4333333333333333
1984,LaNina,LaNina,LaNina,102,118,123,198,236,306,321,311,336,0.5,1,1.5,6.9,12.4,17.8,22.3,25.7,19.9,13.5,8,3.1,10.8,6.933333333333334,21.933333333333334,13.799999999999999,1.4333333333333333,2.1999999999999997
1985,LaNina,LaNina,ElNino,82,107,113,191,245,309,328,313,329,1.1,2.4,3.7,9.9,15,17.4,23.3,26.2,20.2,14.4,9.2,3,12,9.533333333333333,22.3,14.6,2.1999999999999997,1.1333333333333333
1986,ElNino,ElNino,ElNino,69,109,114,188,228,308,324,308,328,0.1,0.3,3.8,9.4,14.5,17.4,20.1,23.6,21.1,13.1,7.8,5,11.3,9.233333333333333,20.366666666666667,14,1.1333333333333333,2.6333333333333333
1987,ElNino,ElNino,LaNina,55,100,107,184,221,318,329,316,329,1,1.9,4.5,9.3,14.9,18.8,23.1,23.3,20.3,15.3,9,4.8,12.2,9.566666666666668,21.733333333333334,14.866666666666667,2.6333333333333333,2.4666666666666663
1988,LaNina,LaNina,LaNina,51,107,111,183,234,321,335,323,339,2.5,0.1,4.1,10.2,14.3,18.2,18.6,24.5,19.8,14.2,7.2,4.4,11.5,9.533333333333333,20.433333333333334,13.733333333333334,2.4666666666666663,3.6
