year,summer_start_date,summer_start_doy,summer_end_date,summer_end_doy,spring_start_date,spring_start_doy,winter_start_date,winter_start_doy,spring_days,summer_days,autumn_days,winter_days,next_spring_start_date,next_spring_start_doy
2013,2013-05-27T00:00:00.000000000,147,2013-10-12T00:00:00.000000000,285,2013-02-26T00:00:00.000000000,57,2013-12-02T00:00:00.000000000,336,90,139,51,100,2014-03-12T00:00:00.000000000,71
2014,2014-05-30T00:00:00.000000000,150,2014-09-27T00:00:00.000000000,270,2014-03-12T00:00:00.000000000,71,2014-12-05T00:00:00.000000000,339,79,121,69,99,2015-03-14T00:00:00.000000000,73
2015,2015-06-14T00:00:00.000000000,165,2015-09-29T00:00:00.000000000,272,2015-03-14T00:00:00.000000000,73,2015-12-19T00:00:00.000000000,353,92,108,81,88,2016-03-16T00:00:00.000000000,76
2016,2016-06-11T00:00:00.000000000,163,2016-10-09T00:00:00.000000000,283,2016-03-16T00:00:00.000000000,76,2016-12-18T00:00:00.000000000,353,87,121,70,83,2017-03-11T00:00:00.000000000,70
2017,2017-06-01T00:00:00.000000000,152,2017-10-11T00:00:00.000000000,284,2017-03-11T00:00:00.000000000,70,2017-12-05T00:00:00.000000000,339,82,133,55,84,2018-02-27T00:00:00.000000000,58
2018,2018-05-18T00:00:00.000000000,138,2018-09-25T00:00:00.000000000,268,2018-02-27T00:00:00.000000000,58,2018-12-10T00:00:00.000000000,344,80,131,76,71,2019-02-19T00:00:00.000000000,50
2019,2019-05-26T00:00:00.000000000,146,2019-10-07T00:00:00.000000000,280,2019-02-19T00:00:00.000000000,50,2019-12-07T00:00:00.000000000,341,96,135,61,76,2020-02-21T00:00:00.000000000,52
2020,2020-06-09T00:00:00.000000000,161,2020-09-17T00:00:00.000000000,261,2020-02-21T00:00:00.000000000,52,2020-12-15T00:00:00.000000000,350,109,101,89,68,2021-02-21T00:00:00.000000000,52
2021,2021-06-10T00:00:00.000000000,161,2021-10-15T00:00:00.000000000,288,2021-02-21T00:00:00.000000000,52,2021-12-18T00:00:00.000000000,352,109,128,64,80,2022-03-08T00:00:00.000000000,67
2022,2022-06-18T00:00:00.000000000,169,2022-10-06T00:00:00.000000000,279,2022-03-08T00:00:00.000000000,67,2022-12-16T00:00:00.000000000,350,102,111,71,74,2023-02-28T00:00:00.000000000,59
