year,summer_start_date,summer_start_doy,summer_end_date,summer_end_doy,spring_start_date,spring_start_doy,winter_start_date,winter_start_doy,spring_days,summer_days,autumn_days,winter_days,next_spring_start_date,next_spring_start_doy
1982,1982-06-11T00:00:00.000000000,162,1982-09-11T00:00:00.000000000,254,1982-03-29T00:00:00.000000000,88,1982-12-08T00:00:00.000000000,342,74,93,88,103,1983-03-21T00:00:00.000000000,80
1983,1983-06-02T00:00:00.000000000,153,1983-09-24T00:00:00.000000000,267,1983-03-21T00:00:00.000000000,80,1983-11-29T00:00:00.000000000,333,73,115,66,121,1984-03-29T00:00:00.000000000,89
1984,1984-06-15T00:00:00.000000000,167,1984-10-03T00:00:00.000000000,277,1984-03-29T00:00:00.000000000,89,1984-11-29T00:00:00.000000000,334,78,111,57,108,1985-03-17T00:00:00.000000000,76
1985,1985-06-24T00:00:00.000000000,175,1985-09-23T00:00:00.000000000,266,1985-03-17T00:00:00.000000000,76,1985-12-02T00:00:00.000000000,336,99,92,70,115,1986-03-27T00:00:00.000000000,86
1986,1986-06-28T00:00:00.000000000,179,1986-09-24T00:00:00.000000000,267,1986-03-27T00:00:00.000000000,86,1986-11-30T00:00:00.000000000,334,93,89,67,124,1987-04-03T00:00:00.000000000,93
1987,1987-06-05T00:00:00.000000000,156,1987-09-18T00:00:00.000000000,261,1987-04-03T00:00:00.000000000,93,1987-12-02T00:00:00.000000000,336,63,106,75,118,1988-03-29T00:00:00.000000000,89
1988,1988-06-15T00:00:00.000000000,167,1988-09-24T00:00:00.000000000,268,1988-03-29T00:00:00.000000000,89,1988-11-28T00:00:00.000000000,333,78,102,65,116,1989-03-24T00:00:00.000000000,83
1989,1989-06-26T00:00:00.000000000,177,1989-09-21T00:00:00.000000000,264,1989-03-24T00:00:00.000000000,83,1989-12-01T00:00:00.000000000,335,94,88,71,100,1990-03-11T00:00:00.000000000,70
1990,1990-06-12T00:00:00.000000000,163,1990-09-27T00:00:00.000000000,270,1990-03-11T00:00:00.000000000,70,1990-12-19T00:00:00.000000000,353,93,108,83,90,1991-03-19T00:00:00.000000000,78
1991,1991-05-26T00:00:00.000000000,146,1991-09-29T00:00:00.000000000,272,1991-03-19T00:00:00.000000000,78,1991-12-13T00:00:00.000000000,347,68,127,75,101,1992-03-23T00:00:00.000000000,83
1992,1992-06-06T00:00:00.000000000,158,1992-09-20T00:00:00.000000000,264,1992-03-23T00:00:00.000000000,83,1992-12-15T00:00:00.000000000,350,75,107,86,118,1993-04-12T00:00:00.000000000,102
1993,1993-06-16T00:00:00.000000000,167,1993-09-21T00:00:00.000000000,264,1993-04-12T00:00:00.000000000,102,1993-12-08T00:00:00.000000000,342,65,98,78,112,1994-03-30T00:00:00.000000000,89
1994,1994-06-05T00:00:00.000000000,156,1994-10-15T00:00:00.000000000,288,1994-03-30T00:00:00.000000000,89,1994-12-17T00:00:00.000000000,351,67,133,63,82,1995-03-09T00:00:00.000000000,68
1995,1995-06-27T00:00:00.000000000,178,1995-09-29T00:00:00.000000000,272,1995-03-09T00:00:00.000000000,68,1995-12-02T00:00:00.000000000,336,110,95,64,126,1996-04-06T00:00:00.000000000,97
1996,1996-06-16T00:00:00.000000000,168,1996-09-20T00:00:00.000000000,264,1996-04-06T00:00:00.000000000,97,1996-12-02T00:00:00.000000000,337,71,97,73,113,1997-03-25T00:00:00.000000000,84
1997,1997-06-21T00:00:00.000000000,172,1997-09-21T00:00:00.000000000,264,1997-03-25T00:00:00.000000000,84,1997-12-04T00:00:00.000000000,338,88,93,74,105,1998-03-19T00:00:00.000000000,78
1998,1998-05-24T00:00:00.000000000,144,1998-10-05T00:00:00.000000000,278,1998-03-19T00:00:00.000000000,78,1998-12-12T00:00:00.000000000,346,66,135,68,103,1999-03-25T00:00:00.000000000,84
1999,1999-06-06T00:00:00.000000000,157,1999-10-15T00:00:00.000000000,288,1999-03-25T00:00:00.000000000,84,1999-12-19T00:00:00.000000000,353,73,132,65,93,2000-03-21T00:00:00.000000000,81
2000,2000-06-20T00:00:00.000000000,172,2000-09-25T00:00:00.000000000,269,2000-03-21T00:00:00.000000000,81,2000-12-13T00:00:00.000000000,348,91,98,79,109,2001-04-01T00:00:00.000000000,91
2001,2001-06-20T00:00:00.000000000,171,2001-09-21T00:00:00.000000000,264,2001-04-01T00:00:00.000000000,91,2001-12-11T00:00:00.000000000,345,80,94,81,88,2002-03-09T00:00:00.000000000,68
2002,2002-06-04T00:00:00.000000000,155,2002-09-23T00:00:00.000000000,266,2002-03-09T00:00:00.000000000,68,2002-12-10T00:00:00.000000000,344,87,112,78,103,2003-03-23T00:00:00.000000000,82
2003,2003-06-09T00:00:00.000000000,160,2003-09-21T00:00:00.000000000,264,2003-03-23T00:00:00.000000000,82,2003-12-11T00:00:00.000000000,345,78,105,81,103,2004-03-23T00:00:00.000000000,83
2004,2004-05-30T00:00:00.000000000,151,2004-09-30T00:00:00.000000000,274,2004-03-23T00:00:00.000000000,83,2004-12-25T00:00:00.000000000,360,68,124,86,83,2005-03-18T00:00:00.000000000,77
2005,2005-06-10T00:00:00.000000000,161,2005-10-04T00:00:00.000000000,277,2005-03-18T00:00:00.000000000,77,2005-12-05T00:00:00.000000000,339,84,117,62,118,2006-04-02T00:00:00.000000000,92
2006,2006-06-14T00:00:00.000000000,165,2006-09-22T00:00:00.000000000,265,2006-04-02T00:00:00.000000000,92,2006-12-06T00:00:00.000000000,340,73,101,75,107,2007-03-23T00:00:00.000000000,82
2007,2007-06-23T00:00:00.000000000,174,2007-09-29T00:00:00.000000000,272,2007-03-23T00:00:00.000000000,82,2007-12-18T00:00:00.000000000,352,92,99,80,83,2008-03-10T00:00:00.000000000,70
2008,2008-06-20T00:00:00.000000000,172,2008-09-24T00:00:00.000000000,268,2008-03-10T00:00:00.000000000,70,2008-12-08T00:00:00.000000000,343,102,97,75,115,2009-04-02T00:00:00.000000000,92
2009,2009-06-16T00:00:00.000000000,167,2009-09-30T00:00:00.000000000,273,2009-04-02T00:00:00.000000000,92,2009-12-17T00:00:00.000000000,351,75,107,78,104,2010-03-31T00:00:00.000000000,90
2010,2010-06-19T00:00:00.000000000,170,2010-09-25T00:00:00.000000000,268,2010-03-31T00:00:00.000000000,90,2010-12-17T00:00:00.000000000,351,80,99,83,103,2011-03-30T00:00:00.000000000,89
2011,2011-06-23T00:00:00.000000000,174,2011-09-22T00:00:00.000000000,265,2011-03-30T00:00:00.000000000,89,2011-12-11T00:00:00.000000000,345,85,92,80,109,2012-03-29T00:00:00.000000000,89
2012,2012-06-18T00:00:00.000000000,170,2012-09-28T00:00:00.000000000,272,2012-03-29T00:00:00.000000000,89,2012-12-02T00:00:00.000000000,337,81,103,65,103,2013-03-15T00:00:00.000000000,74
2013,2013-06-08T00:00:00.000000000,159,2013-10-13T00:00:00.000000000,286,2013-03-15T00:00:00.000000000,74,2013-12-02T00:00:00.000000000,336,85,128,50,104,2014-03-16T00:00:00.000000000,75
2014,2014-06-01T00:00:00.000000000,152,2014-09-17T00:00:00.000000000,260,2014-03-16T00:00:00.000000000,75,2014-12-05T00:00:00.000000000,339,77,109,79,112,2015-03-27T00:00:00.000000000,86
2015,2015-05-28T00:00:00.000000000,148,2015-09-08T00:00:00.000000000,251,2015-03-27T00:00:00.000000000,86,2015-12-20T00:00:00.000000000,354,62,104,103,87,2016-03-16T00:00:00.000000000,76
2016,2016-05-26T00:00:00.000000000,147,2016-10-08T00:00:00.000000000,282,2016-03-16T00:00:00.000000000,76,2016-12-12T00:00:00.000000000,347,71,136,65,97,2017-03-19T00:00:00.000000000,78
2017,2017-06-19T00:00:00.000000000,170,2017-09-27T00:00:00.000000000,270,2017-03-19T00:00:00.000000000,78,2017-11-22T00:00:00.000000000,326,92,101,56,111,2018-03-13T00:00:00.000000000,72
2018,2018-06-25T00:00:00.000000000,176,2018-10-09T00:00:00.000000000,282,2018-03-13T00:00:00.000000000,72,2018-12-10T00:00:00.000000000,344,104,107,62,99,2019-03-19T00:00:00.000000000,78
2019,2019-05-27T00:00:00.000000000,147,2019-10-06T00:00:00.000000000,279,2019-03-19T00:00:00.000000000,78,2019-12-07T00:00:00.000000000,341,69,133,62,101,2020-03-17T00:00:00.000000000,77
2020,2020-06-05T00:00:00.000000000,157,2020-09-24T00:00:00.000000000,268,2020-03-17T00:00:00.000000000,77,2020-12-16T00:00:00.000000000,351,80,112,83,74,2021-02-28T00:00:00.000000000,59
2021,2021-06-09T00:00:00.000000000,160,2021-10-15T00:00:00.000000000,288,2021-02-28T00:00:00.000000000,59,2021-12-18T00:00:00.000000000,352,101,129,64,83,2022-03-11T00:00:00.000000000,70
2022,2022-06-19T00:00:00.000000000,170,2022-10-05T00:00:00.000000000,278,2022-03-11T00:00:00.000000000,70,2022-12-16T00:00:00.000000000,350,100,109,72,76,2023-03-02T00:00:00.000000000,61
