year,summer_start_date,summer_start_doy,summer_end_date,summer_end_doy,spring_start_date,spring_start_doy,winter_start_date,winter_start_doy,spring_days,summer_days,autumn_days,winter_days,next_spring_start_date,next_spring_start_doy
1982,1982-07-12T00:00:00.000000000,193,1982-09-04T00:00:00.000000000,247,1982-03-30T00:00:00.000000000,89,1982-11-28T00:00:00.000000000,332,104,55,85,114,1983-03-22T00:00:00.000000000,81
1983,1983-07-19T00:00:00.000000000,200,1983-09-10T00:00:00.000000000,253,1983-03-22T00:00:00.000000000,81,1983-11-26T00:00:00.000000000,330,119,54,77,131,1984-04-05T00:00:00.000000000,96
1984,1984-07-05T00:00:00.000000000,187,1984-09-05T00:00:00.000000000,249,1984-04-05T00:00:00.000000000,96,1984-11-27T00:00:00.000000000,332,91,63,83,124,1985-03-31T00:00:00.000000000,90
1985,1985-07-09T00:00:00.000000000,190,1985-09-13T00:00:00.000000000,256,1985-03-31T00:00:00.000000000,90,1985-11-28T00:00:00.000000000,332,100,67,76,124,1986-04-01T00:00:00.000000000,91
1986,1986-07-27T00:00:00.000000000,208,1986-09-14T00:00:00.000000000,257,1986-04-01T00:00:00.000000000,91,1986-11-27T00:00:00.000000000,331,117,50,74,140,1987-04-16T00:00:00.000000000,106
1987,1987-06-06T00:00:00.000000000,157,1987-09-16T00:00:00.000000000,259,1987-04-16T00:00:00.000000000,106,1987-11-30T00:00:00.000000000,334,51,103,75,124,1988-04-02T00:00:00.000000000,93
1988,1988-07-12T00:00:00.000000000,194,1988-09-16T00:00:00.000000000,260,1988-04-02T00:00:00.000000000,93,1988-12-16T00:00:00.000000000,351,101,67,91,99,1989-03-25T00:00:00.000000000,84
1989,1989-07-11T00:00:00.000000000,192,1989-09-19T00:00:00.000000000,262,1989-03-25T00:00:00.000000000,84,1989-12-10T00:00:00.000000000,344,108,71,82,89,1990-03-09T00:00:00.000000000,68
1990,1990-06-13T00:00:00.000000000,164,1990-09-22T00:00:00.000000000,265,1990-03-09T00:00:00.000000000,68,1990-12-18T00:00:00.000000000,352,96,102,87,91,1991-03-19T00:00:00.000000000,78
1991,1991-06-12T00:00:00.000000000,163,1991-09-12T00:00:00.000000000,255,1991-03-19T00:00:00.000000000,78,1991-12-10T00:00:00.000000000,344,85,93,89,107,1992-03-26T00:00:00.000000000,86
1992,1992-07-08T00:00:00.000000000,190,1992-09-07T00:00:00.000000000,251,1992-03-26T00:00:00.000000000,86,1992-12-07T00:00:00.000000000,342,104,62,91,106,1993-03-23T00:00:00.000000000,82
1993,1993-08-14T00:00:00.000000000,226,1993-09-19T00:00:00.000000000,262,1993-03-23T00:00:00.000000000,82,1993-12-07T00:00:00.000000000,341,144,37,79,110,1994-03-27T00:00:00.000000000,86
1994,1994-06-18T00:00:00.000000000,169,1994-09-22T00:00:00.000000000,265,1994-03-27T00:00:00.000000000,86,1994-12-07T00:00:00.000000000,341,83,97,76,113,1995-03-30T00:00:00.000000000,89
1995,1995-07-10T00:00:00.000000000,191,1995-09-28T00:00:00.000000000,271,1995-03-30T00:00:00.000000000,89,1995-12-09T00:00:00.000000000,343,102,81,72,120,1996-04-07T00:00:00.000000000,98
