year,summer_start_date,summer_start_doy,summer_end_date,summer_end_doy,spring_start_date,spring_start_doy,winter_start_date,winter_start_doy,spring_days,summer_days,autumn_days,winter_days,next_spring_start_date,next_spring_start_doy
1982,1982-07-12T00:00:00.000000000,193,1982-09-05T00:00:00.000000000,248,1982-03-29T00:00:00.000000000,88,1982-11-29T00:00:00.000000000,333,105,56,85,122,1983-03-31T00:00:00.000000000,90
1983,1983-07-18T00:00:00.000000000,199,1983-09-15T00:00:00.000000000,258,1983-03-31T00:00:00.000000000,90,1983-11-29T00:00:00.000000000,333,109,60,75,128,1984-04-05T00:00:00.000000000,96
1984,1984-06-19T00:00:00.000000000,171,1984-09-15T00:00:00.000000000,259,1984-04-05T00:00:00.000000000,96,1984-11-29T00:00:00.000000000,334,75,89,75,122,1985-03-31T00:00:00.000000000,90
1985,1985-07-09T00:00:00.000000000,190,1985-09-14T00:00:00.000000000,257,1985-03-31T00:00:00.000000000,90,1985-12-10T00:00:00.000000000,344,100,68,87,109,1986-03-29T00:00:00.000000000,88
1986,1986-07-13T00:00:00.000000000,194,1986-09-22T00:00:00.000000000,265,1986-03-29T00:00:00.000000000,88,1986-11-30T00:00:00.000000000,334,106,72,69,109,1987-03-19T00:00:00.000000000,78
1987,1987-06-05T00:00:00.000000000,156,1987-09-14T00:00:00.000000000,257,1987-03-19T00:00:00.000000000,78,1987-12-01T00:00:00.000000000,335,78,102,78,132,1988-04-11T00:00:00.000000000,102
1988,1988-06-07T00:00:00.000000000,159,1988-09-16T00:00:00.000000000,260,1988-04-11T00:00:00.000000000,102,1988-11-22T00:00:00.000000000,327,57,102,67,122,1989-03-24T00:00:00.000000000,83
1989,1989-06-30T00:00:00.000000000,181,1989-09-21T00:00:00.000000000,264,1989-03-24T00:00:00.000000000,83,1989-12-12T00:00:00.000000000,346,98,84,82,84,1990-03-06T00:00:00.000000000,65
1990,1990-06-14T00:00:00.000000000,165,1990-09-25T00:00:00.000000000,268,1990-03-06T00:00:00.000000000,65,1990-12-19T00:00:00.000000000,353,100,104,85,106,1991-04-04T00:00:00.000000000,94
1991,1991-06-11T00:00:00.000000000,162,1991-09-14T00:00:00.000000000,257,1991-04-04T00:00:00.000000000,94,1991-12-16T00:00:00.000000000,350,68,96,93,102,1992-03-27T00:00:00.000000000,87
1992,1992-07-08T00:00:00.000000000,190,1992-09-14T00:00:00.000000000,258,1992-03-27T00:00:00.000000000,87,1992-12-16T00:00:00.000000000,351,103,69,93,97,1993-03-23T00:00:00.000000000,82
1993,1993-06-17T00:00:00.000000000,168,1993-09-21T00:00:00.000000000,264,1993-03-23T00:00:00.000000000,82,1993-12-08T00:00:00.000000000,342,86,97,78,109,1994-03-27T00:00:00.000000000,86
1994,1994-06-17T00:00:00.000000000,168,1994-09-23T00:00:00.000000000,266,1994-03-27T00:00:00.000000000,86,1994-12-17T00:00:00.000000000,351,82,99,85,103,1995-03-30T00:00:00.000000000,89
1995,1995-07-02T00:00:00.000000000,183,1995-09-29T00:00:00.000000000,272,1995-03-30T00:00:00.000000000,89,1995-12-09T00:00:00.000000000,343,94,90,71,118,1996-04-05T00:00:00.000000000,96
1996,1996-06-18T00:00:00.000000000,170,1996-09-09T00:00:00.000000000,253,1996-04-05T00:00:00.000000000,96,1996-12-03T00:00:00.000000000,338,74,84,85,107,1997-03-20T00:00:00.000000000,79
1997,1997-06-25T00:00:00.000000000,176,1997-09-14T00:00:00.000000000,257,1997-03-20T00:00:00.000000000,79,1997-12-05T00:00:00.000000000,339,97,82,82,104,1998-03-19T00:00:00.000000000,78
1998,1998-06-20T00:00:00.000000000,171,1998-09-27T00:00:00.000000000,270,1998-03-19T00:00:00.000000000,78,1998-12-04T00:00:00.000000000,338,93,100,68,118,1999-04-01T00:00:00.000000000,91
1999,1999-06-06T00:00:00.000000000,157,1999-10-03T00:00:00.000000000,276,1999-04-01T00:00:00.000000000,91,1999-12-15T00:00:00.000000000,349,66,120,73,94,2000-03-18T00:00:00.000000000,78
2000,2000-05-30T00:00:00.000000000,151,2000-09-26T00:00:00.000000000,270,2000-03-18T00:00:00.000000000,78,2000-12-03T00:00:00.000000000,338,73,120,68,120,2001-04-02T00:00:00.000000000,92
2001,2001-06-05T00:00:00.000000000,156,2001-09-20T00:00:00.000000000,263,2001-04-02T00:00:00.000000000,92,2001-12-10T00:00:00.000000000,344,64,108,81,73,2002-02-21T00:00:00.000000000,52
2002,2002-06-09T00:00:00.000000000,160,2002-09-14T00:00:00.000000000,257,2002-02-21T00:00:00.000000000,52,2002-12-09T00:00:00.000000000,343,108,98,86,104,2003-03-23T00:00:00.000000000,82
2003,2003-06-17T00:00:00.000000000,168,2003-09-20T00:00:00.000000000,263,2003-03-23T00:00:00.000000000,82,2003-12-12T00:00:00.000000000,346,86,96,83,106,2004-03-27T00:00:00.000000000,87
2004,2004-05-31T00:00:00.000000000,152,2004-09-25T00:00:00.000000000,269,2004-03-27T00:00:00.000000000,87,2004-12-25T00:00:00.000000000,360,65,118,91,82,2005-03-17T00:00:00.000000000,76
2005,2005-06-22T00:00:00.000000000,173,2005-09-24T00:00:00.000000000,267,2005-03-17T00:00:00.000000000,76,2005-12-05T00:00:00.000000000,339,97,95,72,102,2006-03-17T00:00:00.000000000,76
2006,2006-06-23T00:00:00.000000000,174,2006-09-23T00:00:00.000000000,266,2006-03-17T00:00:00.000000000,76,2006-12-07T00:00:00.000000000,341,98,93,75,105,2007-03-22T00:00:00.000000000,81
2007,2007-06-19T00:00:00.000000000,170,2007-09-28T00:00:00.000000000,271,2007-03-22T00:00:00.000000000,81,2007-12-16T00:00:00.000000000,350,89,102,79,85,2008-03-10T00:00:00.000000000,70
2008,2008-07-05T00:00:00.000000000,187,2008-09-27T00:00:00.000000000,271,2008-03-10T00:00:00.000000000,70,2008-12-17T00:00:00.000000000,352,117,85,81,105,2009-04-01T00:00:00.000000000,91
2009,2009-06-24T00:00:00.000000000,175,2009-09-11T00:00:00.000000000,254,2009-04-01T00:00:00.000000000,91,2009-12-17T00:00:00.000000000,351,84,80,97,122,2010-04-18T00:00:00.000000000,108
