year,summer_start_date,summer_start_doy,summer_end_date,summer_end_doy,spring_start_date,spring_start_doy,winter_start_date,winter_start_doy,spring_days,summer_days,autumn_days,winter_days,next_spring_start_date,next_spring_start_doy
2010,2010-06-19T00:00:00.000000000,170,2010-09-24T00:00:00.000000000,267,2010-04-18T00:00:00.000000000,108,2010-12-17T00:00:00.000000000,351,62,98,84,102,2011-03-29T00:00:00.000000000,88
2011,2011-06-23T00:00:00.000000000,174,2011-09-22T00:00:00.000000000,265,2011-03-29T00:00:00.000000000,88,2011-12-09T00:00:00.000000000,343,86,92,78,109,2012-03-27T00:00:00.000000000,87
2012,2012-06-21T00:00:00.000000000,173,2012-10-04T00:00:00.000000000,278,2012-03-27T00:00:00.000000000,87,2012-12-02T00:00:00.000000000,337,86,106,59,94,2013-03-06T00:00:00.000000000,65
2013,2013-06-18T00:00:00.000000000,169,2013-10-14T00:00:00.000000000,287,2013-03-06T00:00:00.000000000,65,2013-12-15T00:00:00.000000000,349,104,119,62,89,2014-03-14T00:00:00.000000000,73
2014,2014-06-01T00:00:00.000000000,152,2014-09-17T00:00:00.000000000,260,2014-03-14T00:00:00.000000000,73,2014-12-06T00:00:00.000000000,340,79,109,80,127,2015-04-12T00:00:00.000000000,102
2015,2015-07-13T00:00:00.000000000,194,2015-09-07T00:00:00.000000000,250,2015-04-12T00:00:00.000000000,102,2015-12-09T00:00:00.000000000,343,92,57,93,110,2016-03-28T00:00:00.000000000,88
2016,2016-06-20T00:00:00.000000000,172,2016-10-07T00:00:00.000000000,281,2016-03-28T00:00:00.000000000,88,2016-11-26T00:00:00.000000000,331,84,110,50,129,2017-04-04T00:00:00.000000000,94
2017,2017-07-02T00:00:00.000000000,183,2017-09-22T00:00:00.000000000,265,2017-04-04T00:00:00.000000000,94,2017-11-21T00:00:00.000000000,325,89,83,60,123,2018-03-24T00:00:00.000000000,83
2018,2018-06-27T00:00:00.000000000,178,2018-09-12T00:00:00.000000000,255,2018-03-24T00:00:00.000000000,83,2018-12-10T00:00:00.000000000,344,95,78,89,123,2019-04-12T00:00:00.000000000,102
2019,2019-05-27T00:00:00.000000000,147,2019-10-06T00:00:00.000000000,279,2019-04-12T00:00:00.000000000,102,2019-11-30T00:00:00.000000000,334,45,133,55,109,2020-03-18T00:00:00.000000000,78
2020,2020-06-09T00:00:00.000000000,161,2020-09-22T00:00:00.000000000,266,2020-03-18T00:00:00.000000000,78,2020-12-05T00:00:00.000000000,340,83,106,74,88,2021-03-03T00:00:00.000000000,62
2021,2021-06-11T00:00:00.000000000,162,2021-09-26T00:00:00.000000000,269,2021-03-03T00:00:00.000000000,62,2021-12-14T00:00:00.000000000,348,100,108,79,112,2022-04-05T00:00:00.000000000,95
2022,2022-06-21T00:00:00.000000000,172,2022-09-21T00:00:00.000000000,264,2022-04-05T00:00:00.000000000,95,2022-12-05T00:00:00.000000000,339,77,93,75,85,2023-02-28T00:00:00.000000000,59
