年,ENSO_summer,ENSO_winter,ENSO_next_winter,うめ開花,さくら開花,さくら満開,あじさい開花,すすき開花,いちょう黄葉,いちょう落葉,かえで紅葉,かえで落葉,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,年の値,春平均気温,夏平均気温,秋平均気温,冬平均気温,次の冬平均気温
1977,ElNino,ElNino,Neutral,51,81,90,151,245,332,336,NA,NA,3.4,4.9,9.3,15.1,18.7,20.9,25.8,25,24.3,18.7,14.8,8.9,15.8,14.366666666666665,23.900000000000002,19.266666666666666,5.2,6.233333333333333
1978,Neutral,Neutral,ElNino,37,90,99,153,262,322,329,NA,NA,5.6,4.2,8.7,13.9,19,23.8,27.8,28.9,22.2,17.3,12.9,8.5,16.1,13.866666666666667,26.833333333333332,17.466666666666665,6.233333333333333,7.833333333333333
1979,ElNino,ElNino,ElNino,10,82,94,146,248,335,337,NA,NA,6.6,8.4,9.9,13.9,18.6,24.4,25.2,27.4,24.1,19.6,14.3,10.1,16.9,14.133333333333335,25.666666666666668,19.333333333333332,7.833333333333333,6.966666666666666
1980,ElNino,ElNino,Neutral,28,90,98,159,246,322,327,NA,NA,5.6,5.2,8.2,13.6,19.2,23.6,23.8,23.4,23,18.2,13,7.7,15.4,13.666666666666666,23.600000000000005,18.066666666666666,6.966666666666666,5.800000000000001
1981,Neutral,Neutral,ElNino,24,85,98,156,256,322,327,325,332,4.4,5.3,9,13.9,17.5,20.2,26.3,26.2,21.8,17.6,10.4,7.6,15,13.466666666666667,24.233333333333334,16.6,5.800000000000001,6.3
1982,ElNino,ElNino,ElNino,28,82,90,146,241,324,329,NA,NA,5.8,5.5,9.9,14,20.7,21.4,23.1,27.1,22.3,18,14.3,9.5,16,14.866666666666665,23.866666666666664,18.2,6.3,7.266666666666666
1983,ElNino,ElNino,LaNina,31,90,98,157,239,320,325,328,337,6.2,6.1,8.6,15.9,19.7,20.5,23.8,27.5,23.1,17.7,12.3,7.1,15.7,14.733333333333334,23.933333333333334,17.7,7.266666666666666,4.6000000000000005
1984,LaNina,LaNina,LaNina,55,101,107,166,247,319,326,331,340,3.7,3,5.9,11.6,17.2,21.8,26.2,28.6,23.5,17.7,12.2,7.7,14.9,11.566666666666668,25.53333333333333,17.8,4.6000000000000005,6.1000000000000005
1985,LaNina,LaNina,ElNino,35,93,100,159,246,318,323,336,343,4.1,6.5,7.8,14.2,19.1,20.2,26.3,27.9,23.1,17.9,13.3,7.4,15.7,13.700000000000001,24.8,18.099999999999998,6.1000000000000005,5.3999999999999995
1986,ElNino,ElNino,ElNino,46,93,100,163,249,315,321,329,339,4.5,4.3,7.8,13.9,17.9,21.1,23.9,26.8,23.7,17.1,12.3,8.5,15.2,13.199999999999998,23.933333333333334,17.7,5.3999999999999995,7.033333333333334
1987,ElNino,ElNino,LaNina,24,82,95,155,243,322,328,331,339,5.8,6.8,9.3,14.4,19.3,22.1,27,27.3,23.3,18.9,12.8,8.1,16.3,14.333333333333334,25.46666666666667,18.333333333333332,7.033333333333334,6.900000000000001
1988,LaNina,LaNina,LaNina,23,92,101,157,246,325,329,335,340,7.7,4.9,8.4,14.3,18.2,22.3,22.4,27,22.8,17.5,11.4,8.4,15.4,13.633333333333335,23.900000000000002,17.23333333333333,6.900000000000001,8
1989,LaNina,LaNina,Neutral,22,79,93,157,252,322,329,338,343,8.1,7.5,9.6,15.6,17.7,20.7,24.1,27.1,25.2,17.5,14.2,9.2,16.4,14.299999999999999,23.96666666666667,18.96666666666667,8,7.333333333333333
1990,Neutral,Neutral,ElNino,43,79,85,160,244,328,334,339,346,5,7.8,10.6,14.7,19.2,23.5,25.7,28.6,24.8,19.2,15.1,10,17,14.833333333333334,25.933333333333337,19.7,7.333333333333333,7.6000000000000005
1991,ElNino,ElNino,ElNino,30,89,98,163,239,323,329,333,342,6.3,6.5,9.5,15.4,18.8,23.6,26.7,25.5,23.9,18.1,13,9.2,16.4,14.566666666666668,25.266666666666666,18.333333333333332,7.6000000000000005,7.633333333333333
1992,ElNino,ElNino,ElNino,11,83,91,165,240,322,328,330,336,6.8,6.9,9.7,15.1,17.3,20.6,25.5,27,23.3,17.3,13,9.4,16,14.033333333333331,24.366666666666664,17.866666666666667,7.633333333333333,7.766666666666667
1993,ElNino,ElNino,Neutral,12,83,92,167,242,324,328,338,346,6.2,7.7,8.7,13.4,18.1,21.7,22.5,24.8,22.9,17.5,14.1,8.5,15.5,13.4,23,18.166666666666668,7.766666666666667,6.866666666666667
1994,Neutral,Neutral,LaNina,31,90,95,156,NA,326,332,332,349,5.5,6.6,8.1,15.8,19.5,22.4,28.3,28.9,24.8,20.2,13.4,9,16.9,14.466666666666667,26.53333333333333,19.466666666666665,6.866666666666667,7.266666666666667
1995,LaNina,LaNina,LaNina,24,90,97,163,NA,325,342,332,363,6.3,6.5,8.9,15,19.1,20.4,26.4,29.4,23.7,19.5,12.7,7.7,16.3,14.333333333333334,25.399999999999995,18.633333333333336,7.266666666666667,6.566666666666667
1996,LaNina,LaNina,ElNino,29,90,97,161,263,311,332,319,337,6.6,5.4,9.2,12.7,18.1,22.6,26.2,26,22.4,18,13.2,9.3,15.8,13.333333333333334,24.933333333333334,17.866666666666664,6.566666666666667,7.7
1997,ElNino,ElNino,LaNina,14,80,89,161,239,322,330,326,340,6.8,7,10.5,15.2,19.2,22.7,26.6,27,22.9,18.7,14.3,9.2,16.7,14.966666666666667,25.433333333333334,18.63333333333333,7.7,7.166666666666667
1998,LaNina,LaNina,LaNina,33,86,90,155,246,331,339,336,351,5.3,7,10.1,16.3,20.5,21.5,25.3,27.2,24.4,20.1,13.9,9,16.7,15.633333333333333,24.666666666666668,19.466666666666665,7.166666666666667,7.433333333333334
1999,LaNina,LaNina,LaNina,27,83,92,159,249,330,344,336,357,6.6,6.7,10.1,15,19.9,22.8,25.9,28.5,26.2,19.5,14.2,9,17,15,25.733333333333334,19.96666666666667,7.433333333333334,7.533333333333334
2000,LaNina,LaNina,Neutral,22,89,96,159,265,324,332,330,340,7.6,6,9.4,14.5,19.8,22.5,27.7,28.3,25.6,18.8,13.3,8.8,16.9,14.566666666666668,26.166666666666668,19.233333333333334,7.533333333333334,6.766666666666667
2001,Neutral,Neutral,ElNino,32,82,87,149,262,322,334,327,349,4.9,6.6,9.8,15.7,19.5,23.1,28.5,26.4,23.2,18.7,13.1,8.4,16.5,15,26,18.333333333333332,6.766666666666667,7.900000000000001
2002,ElNino,ElNino,ElNino,15,75,80,151,254,318,331,324,335,7.4,7.9,12.2,16.1,18.4,21.6,28,28,23.1,19,11.6,7.2,16.7,15.566666666666668,25.866666666666664,17.900000000000002,7.900000000000001,6.366666666666667
2003,ElNino,ElNino,Neutral,24,86,91,154,248,328,336,332,348,5.5,6.4,8.7,15.1,18.8,23.2,22.8,26,24.2,17.8,14.4,9.2,16,14.199999999999998,24,18.8,6.366666666666667,8
2004,Neutral,Neutral,Neutral,21,77,88,153,271,326,339,334,356,6.3,8.5,9.8,16.4,19.6,23.7,28.5,27.2,25.1,17.5,15.6,9.9,17.3,15.266666666666666,26.46666666666667,19.400000000000002,8,7.3999999999999995
2005,Neutral,Neutral,Neutral,25,90,96,159,266,329,339,329,354,6.1,6.2,9,15.1,17.7,23.2,25.6,28.1,24.7,19.2,13.3,6.4,16.2,13.933333333333332,25.633333333333336,19.066666666666666,7.3999999999999995,6.066666666666666
2006,Neutral,Neutral,LaNina,38,80,87,154,250,328,338,333,350,5.1,6.7,9.8,13.6,19,22.5,25.6,27.5,23.5,19.5,14.4,9.5,16.4,14.133333333333333,25.2,19.133333333333333,6.066666666666666,8.566666666666668
2007,LaNina,LaNina,LaNina,18,79,88,157,252,329,338,330,350,7.6,8.6,10.8,13.7,19.8,23.2,24.4,29,25.2,19,13.3,9,17,14.766666666666666,25.53333333333333,19.166666666666668,8.566666666666668,6.8
2008,LaNina,LaNina,ElNino,20,81,86,157,276,334,340,334,344,5.9,5.5,10.7,14.7,18.5,21.3,27,26.8,24.4,19.4,13.1,9.8,16.4,14.633333333333333,25.03333333333333,18.966666666666665,6.8,8.133333333333335
