年,ENSO_summer,ENSO_winter,ENSO_next_winter,うめ開花,さくら開花,さくら満開,あじさい開花,すすき開花,いちょう黄葉,いちょう落葉,かえで紅葉,かえで落葉,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,年の値,春平均気温,夏平均気温,秋平均気温,冬平均気温,次の冬平均気温
1977,ElNino,ElNino,Neutral,58,82,88,NA,253,331,344,329,342,3.7,4.7,10.3,15.3,18.5,21.8,27.5,26,24.1,19.4,14,9.8,16.3,14.700000000000001,25.099999999999998,19.166666666666668,5.266666666666667,7.6000000000000005
1978,Neutral,Neutral,ElNino,26,91,98,NA,266,319,340,321,348,7,6,9.4,14.5,19.3,23.8,28.7,28.3,24.5,18,13.2,9.4,16.8,14.4,26.933333333333334,18.566666666666666,7.6000000000000005,8.366666666666667
1979,ElNino,ElNino,ElNino,24,87,96,NA,266,326,334,326,343,7.7,8,9.9,14,18.1,23.6,26.3,27.9,24.6,19,12.5,9.3,16.7,14,25.933333333333337,18.7,8.366666666666667,6.866666666666667
1980,ElNino,ElNino,Neutral,27,89,95,NA,253,324,332,324,337,6.2,5.1,9.6,14,18.7,23.1,24.9,24.5,22.4,18.1,13.5,6.4,15.5,14.1,24.166666666666668,18,6.866666666666667,5.5
1981,Neutral,Neutral,ElNino,72,84,92,NA,267,319,333,320,336,4,6.1,10.2,14.6,18.6,22.8,28.5,27.4,23.1,18.1,11.7,8.2,16.1,14.466666666666667,26.23333333333333,17.633333333333336,5.5,6.933333333333334
1982,ElNino,ElNino,ElNino,14,79,85,NA,249,308,335,312,336,5.9,6.7,10.7,14.2,20.3,22.1,24.8,27.1,22.4,18.7,14.9,8.6,16.4,15.066666666666668,24.666666666666668,18.666666666666664,6.933333333333334,7.1000000000000005
1983,ElNino,ElNino,LaNina,36,90,94,165,266,314,334,314,338,6.7,6,10.1,16.3,19.4,22.1,26.9,28.1,24.8,19.1,12.4,7.4,16.6,15.266666666666666,25.7,18.76666666666667,7.1000000000000005,5.3
1984,LaNina,LaNina,LaNina,68,95,100,159,276,302,330,324,354,4.1,4.4,7.6,14.5,18,23.8,27.8,28.6,23.7,18.1,14.4,8.3,16.1,13.366666666666667,26.733333333333334,18.73333333333333,5.3,6.666666666666667
1985,LaNina,LaNina,ElNino,23,91,97,158,269,305,327,312,330,4.7,7,10,14.5,19.5,22,28,29.3,25.4,19.3,12.7,6.7,16.6,14.666666666666666,26.433333333333334,19.133333333333336,6.666666666666667,5.3
1986,ElNino,ElNino,ElNino,61,88,93,166,273,305,321,314,333,4.5,4.7,9.4,15.2,18.9,22.9,25.6,27.8,23.7,17,12.6,9.6,16,14.5,25.433333333333334,17.76666666666667,5.3,8.266666666666666
