年,ENSO_summer,ENSO_winter,ENSO_next_winter,うめ開花,さくら開花,さくら満開,あじさい開花,すすき開花,いちょう黄葉,いちょう落葉,かえで紅葉,かえで落葉,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,年の値,春平均気温,夏平均気温,秋平均気温,冬平均気温,次の冬平均気温
1976,LaNina,LaNina,ElNino,NA,88,97,NA,NA,NA,NA,NA,NA,5.2,7.8,8.9,14.3,18.9,22.8,26.1,27.4,22.2,18,11.5,7.5,15.9,14.033333333333333,25.433333333333337,17.233333333333334,6.8999999999999995,5.266666666666667
1977,ElNino,ElNino,Neutral,NA,86,91,NA,NA,NA,NA,NA,NA,4,4.3,9.9,15.5,19.5,22.7,28.1,27.8,25,19.7,14.6,9.5,16.7,14.966666666666667,26.2,19.76666666666667,5.266666666666667,6.866666666666667
1978,Neutral,Neutral,ElNino,NA,94,100,NA,NA,NA,NA,NA,NA,6.2,4.9,8.7,14.5,19.7,23.8,28.8,29.6,25.2,18.6,13.1,9,16.8,14.299999999999999,27.400000000000002,18.966666666666665,6.866666666666667,8.233333333333333
1979,ElNino,ElNino,ElNino,33,88,99,NA,NA,NA,NA,NA,NA,7.2,8.5,9.2,13.9,19,24.5,26.5,29.1,24.7,19.7,13.9,9.2,17.1,14.033333333333333,26.7,19.433333333333334,8.233333333333333,6.566666666666666
1980,ElNino,ElNino,Neutral,NA,93,99,NA,NA,NA,NA,NA,NA,5.7,4.8,8.5,13.9,19.5,23.9,25.8,26.6,23.3,18.7,13.7,6.8,15.9,13.966666666666667,25.433333333333337,18.566666666666666,6.566666666666666,5.2
1981,Neutral,Neutral,ElNino,17,87,96,NA,NA,NA,NA,NA,NA,3.7,5.1,9.3,14.4,18.5,23.2,28.3,27.4,23.1,17.6,11.1,7.6,15.8,14.066666666666668,26.3,17.26666666666667,5.2,6.133333333333333
1982,ElNino,ElNino,ElNino,26,82,90,NA,NA,308,334,NA,NA,5.3,5.5,9.7,14,20.5,22.3,24.7,27.2,22.9,18.4,14.5,8.6,16.1,14.733333333333334,24.733333333333334,18.599999999999998,6.133333333333333,6.766666666666666
1983,ElNino,ElNino,LaNina,44,90,98,NA,NA,319,334,NA,NA,6.1,5.6,8.7,16.5,20.1,22.5,26.7,29.4,24.9,17.9,12.6,6.9,16.5,15.1,26.2,18.466666666666665,6.766666666666666,4.6000000000000005
1984,LaNina,LaNina,LaNina,68,100,106,165,NA,314,324,NA,NA,3.6,3.3,6,13.7,18.9,24,27.5,29.4,24.1,17.8,13.6,7.9,15.8,12.866666666666665,26.96666666666667,18.500000000000004,4.6000000000000005,6.266666666666666
1985,LaNina,LaNina,ElNino,44,88,98,148,NA,312,329,NA,NA,4.3,6.6,9.3,15.5,20.1,22.5,27.6,29.2,25.3,19,12.8,6.6,16.6,14.966666666666669,26.433333333333334,19.03333333333333,6.266666666666666,4.866666666666667
1986,ElNino,ElNino,ElNino,66,92,99,161,NA,306,330,NA,NA,4.2,3.8,8.3,14.8,18.6,23,26.4,28.2,24.5,17,12.4,8.9,15.8,13.9,25.866666666666664,17.966666666666665,4.866666666666667,7.2
1987,ElNino,ElNino,LaNina,23,84,97,161,NA,324,338,335,351,6.2,6.5,8.9,14.2,19.3,23.8,27.6,28.7,24.4,19.6,13.4,8.7,16.8,14.133333333333335,26.700000000000003,19.133333333333333,7.2,6.966666666666666
1988,LaNina,LaNina,LaNina,35,95,101,166,272,320,334,326,346,7.2,5,8.4,14.3,19,23.3,26,27.9,24.8,17.8,11.5,7.6,16.1,13.9,25.73333333333333,18.033333333333335,6.966666666666666,7.666666666666667
1989,LaNina,LaNina,Neutral,31,84,91,160,262,328,342,340,353,7.8,7.6,9.5,15.5,18.8,22.6,26.7,28,24.9,18.2,14.1,8.5,16.9,14.6,25.766666666666666,19.066666666666666,7.666666666666667,7.633333333333333
1990,Neutral,Neutral,ElNino,50,80,89,158,270,330,340,346,369,5.7,8.7,10.4,14.9,19.1,24.5,28,29.5,25.4,18.9,14.8,9.4,17.4,14.800000000000002,27.333333333333332,19.7,7.633333333333333,7.2
1991,ElNino,ElNino,ElNino,35,88,96,156,267,329,338,337,353,6.4,5.8,10.2,15.9,19.2,24.4,28.1,28.1,25.6,18.7,13.3,9.8,17.1,15.1,26.866666666666664,19.2,7.2,7.900000000000001
1992,ElNino,ElNino,ElNino,24,85,92,161,267,329,342,335,349,7.4,6.5,10.5,15.3,18.3,22.4,27,28.2,24.5,19.2,13.4,9.6,16.9,14.700000000000001,25.866666666666664,19.033333333333335,7.900000000000001,8
1993,ElNino,ElNino,Neutral,37,88,97,153,253,328,345,341,355,6.9,7.5,8.7,14.4,18.9,22.7,25.4,26.6,23.3,17.9,14.7,8.4,16.3,14,24.899999999999995,18.633333333333336,8,6.8999999999999995
1994,Neutral,Neutral,LaNina,52,90,96,157,265,332,343,340,349,6.1,6.2,8.3,16.5,20.7,24.2,29.9,30.2,26,20.8,14.6,9.3,17.7,15.166666666666666,28.099999999999998,20.466666666666665,6.8999999999999995,7.2
1995,LaNina,LaNina,LaNina,51,90,97,156,275,325,338,334,352,6.1,6.2,9.8,14.6,18.9,22.1,27.5,30.3,24.2,19.9,12.1,7.2,16.6,14.433333333333332,26.633333333333336,18.73333333333333,7.2,6.233333333333333
1996,LaNina,LaNina,ElNino,52,90,99,163,263,326,335,337,352,6.3,5.2,8.9,12.7,19.6,23.4,27.5,28.3,23.3,18.5,13.7,8.7,16.3,13.733333333333334,26.400000000000002,18.5,6.233333333333333,6.833333333333333
1997,ElNino,ElNino,LaNina,38,86,94,158,247,316,331,331,344,6,5.8,10.1,15.1,19.9,23.7,26.7,28.5,24.3,18.2,14.1,8.9,16.8,15.033333333333331,26.3,18.866666666666667,6.833333333333333,7.533333333333334
1998,LaNina,LaNina,LaNina,34,84,93,147,205,329,342,336,350,5.9,7.8,10.6,17.7,21.6,23.3,27.8,29.4,25.6,20.8,13.7,9.8,17.8,16.633333333333333,26.833333333333332,20.033333333333335,7.533333333333334,7.366666666666667
1999,LaNina,LaNina,LaNina,39,83,88,168,232,330,341,341,356,6.4,5.9,10.6,14.7,20.5,23.5,26.8,29.1,27.2,20.1,14.1,8.7,17.3,15.266666666666666,26.46666666666667,20.466666666666665,7.366666666666667,6.866666666666667
2000,LaNina,LaNina,Neutral,35,92,98,165,241,333,345,344,360,7,4.9,8.9,14.6,20.7,23.3,28.7,29.6,25.8,19.7,14.6,8.8,17.2,14.733333333333334,27.2,20.033333333333335,6.866666666666667,6.866666666666667
2001,Neutral,Neutral,ElNino,54,84,94,155,239,326,339,333,348,5.2,6.6,9.7,15.5,20.6,24,29.2,28.8,24.4,19.5,13.2,8.3,17.1,15.266666666666666,27.333333333333332,19.03333333333333,6.866666666666667,7.6000000000000005
2002,ElNino,ElNino,ElNino,34,79,87,153,200,318,333,327,339,7.2,7.3,11.6,16.6,20,23.6,29,29,25.1,18.9,11.1,8.2,17.3,16.066666666666666,27.2,18.366666666666667,7.6000000000000005,6.699999999999999
2003,ElNino,ElNino,Neutral,32,86,92,160,NA,321,335,336,352,5.1,6.8,8.4,15.9,20.2,23.7,25.3,28.3,25.9,18.1,15.5,9.1,16.9,14.833333333333334,25.766666666666666,19.833333333333332,6.699999999999999,7.599999999999999
2004,Neutral,Neutral,Neutral,43,82,92,147,271,325,337,337,348,5.8,7.9,10.2,16.4,21.1,24.8,29.5,28.4,26.2,19,15.2,10.2,17.9,15.9,27.566666666666663,20.133333333333336,7.599999999999999,7.5
2005,Neutral,Neutral,Neutral,35,93,98,159,259,325,339,335,341,6.2,6.1,9.2,16.2,19.5,24.9,27.5,28.7,26.1,19.8,13.7,5.9,17,14.966666666666667,27.03333333333333,19.86666666666667,7.5,6.033333333333334
2006,Neutral,Neutral,LaNina,57,87,94,164,246,324,335,334,346,5.5,6.7,8.6,13.6,19.7,24.3,27.2,29.8,24.6,20.4,14.8,9.1,17,13.966666666666667,27.099999999999998,19.933333333333334,6.033333333333334,8.433333333333334
2007,LaNina,LaNina,LaNina,36,86,93,156,223,327,340,333,341,7.5,8.7,10.1,14.6,19.8,23.6,25.9,29.9,27.2,20,13.7,9.6,17.6,14.833333333333334,26.46666666666667,20.3,8.433333333333334,6.833333333333333
2008,LaNina,LaNina,ElNino,50,85,92,160,224,325,339,334,344,5.8,5.1,10.8,15.4,20,23.1,28.7,28.4,24.5,19.6,13.4,9.1,17,15.4,26.73333333333333,19.166666666666668,6.833333333333333,7.833333333333333
2009,ElNino,ElNino,LaNina,38,83,96,159,257,328,338,331,341,6.5,7.9,9.7,15.5,19.7,24,27.3,28,24.5,19.2,13.6,8.7,17.1,14.966666666666667,26.433333333333334,19.1,7.833333333333333,7.533333333333332
2010,LaNina,LaNina,LaNina,41,80,94,159,279,326,334,334,341,6.1,7.8,9.6,13.6,18.8,23.9,27.9,30.5,26.7,19.9,13.2,9,17.3,14,27.433333333333334,19.933333333333334,7.533333333333332,6.933333333333334
2011,LaNina,LaNina,Neutral,52,90,97,161,257,332,343,336,348,4.4,7.4,8.1,13.8,19.6,24.2,27.8,28.9,25.2,19.5,15.2,8.1,16.9,13.833333333333334,26.96666666666667,19.96666666666667,6.933333333333334,6.266666666666666
2012,Neutral,Neutral,Neutral,60,92,99,162,263,323,338,331,338,5.6,5.1,9.1,15.2,19.6,23,27.8,29.4,26,19.3,12.4,6.6,16.6,14.633333333333333,26.73333333333333,19.23333333333333,6.266666666666666,5.8
2013,Neutral,Neutral,Neutral,58,80,88,160,275,326,343,331,345,5.2,5.6,10.7,14.3,19.8,24.3,28.5,30,25.1,20.8,12.9,7.8,17.1,14.933333333333332,27.599999999999998,19.6,5.8,6.5
2014,Neutral,Neutral,ElNino,45,86,92,157,251,324,334,331,339,5.9,5.8,9.9,14.8,19.8,23.9,27.8,27.8,24,19.5,14.2,6.8,16.7,14.833333333333334,26.5,19.233333333333334,6.5,6.599999999999999
2015,ElNino,ElNino,ElNino,58,85,91,156,245,324,331,341,351,6.1,6.9,10.2,15.9,21.5,22.9,27,28.6,23.2,19,15.2,10.1,17.2,15.866666666666667,26.166666666666668,19.133333333333336,6.599999999999999,8.1
2016,ElNino,ElNino,LaNina,43,82,91,157,255,322,332,334,348,6.8,7.4,10.8,16.6,21.2,23.3,28,29.5,25.8,20.3,13.4,9.4,17.7,16.2,26.933333333333334,19.833333333333332,8.1,7.300000000000001
2017,LaNina,LaNina,LaNina,48,89,96,158,254,325,335,328,339,6.2,6.3,9.2,15.7,21.1,22.7,28.8,29.2,24.4,18.4,12.6,7,16.8,15.333333333333334,26.900000000000002,18.466666666666665,7.300000000000001,5.766666666666667
2018,LaNina,LaNina,ElNino,57,79,85,155,262,NA,NA,332,341,5,5.3,11.5,16.9,20.1,23.4,29.5,29.7,24.1,19.7,14.6,9.4,17.4,16.166666666666668,27.53333333333333,19.466666666666665,5.766666666666667,7.8999999999999995
2019,ElNino,ElNino,LaNina,50,86,94,158,261,329,338,333,352,6.5,7.8,10.6,14.6,21,23.7,26.5,29.1,26.6,20.7,14.2,9.5,17.6,15.4,26.433333333333337,20.5,7.8999999999999995,8.700000000000001
2020,LaNina,LaNina,LaNina,33,82,93,155,253,324,331,335,349,8.6,8,11.4,13.7,20.8,24.9,26,30.7,25.8,18.7,14.7,8.7,17.7,15.300000000000002,27.2,19.733333333333334,8.700000000000001,7.866666666666666
2021,LaNina,LaNina,LaNina,46,78,87,151,243,323,334,334,351,6.2,8.7,12.2,15.5,20,23.9,27.9,28.1,24.8,20.3,14.1,8.8,17.5,15.9,26.633333333333336,19.733333333333334,7.866666666666666,6.633333333333333
2022,LaNina,LaNina,ElNino,57,82,89,152,264,322,336,329,348,5.6,5.5,11.4,16.8,20,24.4,28.4,29.5,26.2,19,15.2,7.9,17.5,16.066666666666666,27.433333333333334,20.133333333333336,6.633333333333333,7.133333333333333
2023,ElNino,ElNino,ElNino,53,78,86,155,275,320,338,339,349,6.5,7,13,15.9,20,23.8,28.9,29.9,27.9,19.3,14.4,9.3,18,16.3,27.53333333333333,20.533333333333335,7.133333333333333,8.266666666666666
2024,ElNino,ElNino,NA,33,89,96,155,277,331,343,344,358,7.1,8.4,9.5,17.8,19.4,23.9,29.6,30.4,28.6,22.1,15.1,8.6,18.4,15.566666666666668,27.96666666666667,21.933333333333334,8.266666666666666,8.6
